Wall time,Step,Value
1687550594.3532438,1113088,0.7679760456085205
1687550628.823811,1114112,0.7896751165390015
1687550765.7109802,1118208,0.9900640249252319
1687551004.7205088,1125376,0.9733805656433105
1687551072.926802,1127424,0.7508483529090881
1687551141.553083,1129472,1.074939489364624
1687551175.554804,1130496,0.878329336643219
1687551209.336789,1131520,0.9171837568283081
1687551312.626575,1134592,0.8824591636657715
1687551381.193731,1136640,0.8702154159545898
1687551448.727426,1138688,0.948434591293335
1687551483.602216,1139712,1.0155589580535889
1687551551.121697,1141760,0.7504129409790039
1687551721.260664,1146880,0.7495840787887573
1687551789.725354,1148928,0.8575458526611328
1687551824.523228,1149952,1.0801445245742798
1687551926.05152,1153024,0.9206011295318604
1687551960.709882,1154048,1.0251736640930176
1687552028.9289658,1156096,0.8157010078430176
1687552063.005196,1157120,0.7735742330551147
1687552164.857135,1160192,1.006217360496521
1687552233.259512,1162240,1.2065061330795288
1687552301.34195,1164288,0.9042269587516785
1687552403.0653381,1167360,0.9049550294876099
1687552642.071108,1174528,0.7859770655632019
1687552711.268224,1176576,0.8002544641494751
1687552779.483729,1178624,1.0709588527679443
1687552813.998713,1179648,0.8370131254196167
1687552848.5896661,1180672,1.0831342935562134
1687553122.994143,1188864,0.8490030169487
1687553191.5358348,1190912,1.149867296218872
1687553260.4479291,1192960,1.1098874807357788
1687553362.420439,1196032,0.7963659167289734
1687553567.0367439,1202176,1.003666877746582
1687553601.686672,1203200,1.0172909498214722
1687553669.876748,1205248,0.9506388306617737
1687553704.5585768,1206272,1.2208999395370483
1687553738.472756,1207296,1.0514090061187744
1687553875.542948,1211392,1.0423364639282227
1687553944.417792,1213440,0.9204592108726501
1687554013.5085828,1215488,0.8049156069755554
1687554116.4759,1218560,0.9242157340049744
1687554151.478434,1219584,0.9347626566886902
1687554253.8007722,1222656,0.9178686738014221
1687554287.960381,1223680,0.897115170955658
1687554392.197524,1226752,1.0754138231277466
1687554667.668697,1234944,0.9320250153541565
1687554702.796772,1235968,0.7777568697929382
1687554737.0072372,1236992,0.9550130367279053
1687554978.39107,1244160,1.2010855674743652
1687555116.398549,1248256,0.8267220258712769
1687555288.9979799,1253376,1.0386338233947754
1687555357.63407,1255424,0.8881999254226685
1687555495.739572,1259520,1.0370380878448486
1687555599.36371,1262592,0.9400793313980103
1687555806.1601899,1268736,0.7697592973709106
1687555874.6433222,1270784,0.8604193925857544
1687556012.0987709,1274880,0.9847530722618103
1687556082.129465,1276928,1.0057405233383179
1687556185.878214,1280000,0.8437305688858032
1687556220.987663,1281024,0.9867686629295349
1687556255.8039098,1282048,0.7067017555236816
1687556290.370753,1283072,0.9021154046058655
1687556359.8166559,1285120,0.8831406235694885
1687556429.247288,1287168,0.8320032358169556
1687556464.336131,1288192,0.8635212779045105
1687556569.336967,1291264,1.0964505672454834
1687556604.068772,1292288,0.9204167127609253
1687556813.4648,1298432,0.9569678902626038
1687556953.377753,1302528,1.0788533687591553
1687557127.297844,1307648,0.9609116315841675
1687557162.469928,1308672,0.7532146573066711
1687557197.605141,1309696,1.1362082958221436
1687557337.5941818,1313792,0.959972620010376
1687557443.359241,1316864,0.9847093820571899
1687557620.158575,1321984,0.9810532927513123
1687557724.918381,1325056,0.7815971374511719
1687557898.8454359,1330176,0.5621183514595032
1687557933.96643,1331200,1.0718342065811157
1687558039.8063622,1334272,0.871132493019104
1687558179.5346692,1338368,0.9897737503051758
1687558320.1029608,1342464,1.1965711116790771
1687558494.490121,1347584,1.0760552883148193
1687558670.501917,1352704,1.218272089958191
1687558739.5694342,1354752,0.8745334148406982
1687558846.59969,1357824,0.9958482384681702
1687558881.793642,1358848,0.9761384725570679
1687558952.023489,1360896,1.0584666728973389
1687559199.967556,1368064,1.0852117538452148
1687559550.8944519,1378304,1.0820555686950684
1687559655.8798678,1381376,0.7997167110443115
1687559761.289206,1384448,1.0320686101913452
1687559796.383235,1385472,1.2620419263839722
1687559868.2618968,1387520,1.0024371147155762
1687560078.9805598,1393664,1.1746857166290283
1687560219.892672,1397760,0.8449907302856445
1687560254.226112,1398784,0.7564435005187988
1687560289.972654,1399808,1.0882121324539185
1687560324.943368,1400832,0.8584594130516052
1687560359.515394,1401856,1.2118189334869385
1687560605.994195,1409024,1.1325899362564087
1687560640.922036,1410048,0.9553401470184326
1687560780.975384,1414144,1.0892640352249146
1687560956.036615,1419264,1.0888826847076416
1687560990.527544,1420288,0.9918347001075745
1687561131.980895,1424384,1.068223476409912
1687561238.183757,1427456,0.8649049997329712
1687561378.264789,1431552,1.1319923400878906
1687562107.775734,1452032,1.0761979818344116
1687562255.762207,1456128,1.0519250631332397
1687562616.996325,1466368,1.0169161558151245
1687562654.330534,1467392,0.988974392414093
1687562798.932846,1471488,1.0982580184936523
1687562871.165191,1473536,0.8569576144218445
1687562908.212485,1474560,1.0138839483261108
1687562944.1378071,1475584,1.0606261491775513
1687562980.7132952,1476608,1.0993473529815674
1687563090.279604,1479680,1.0481936931610107
1687563270.897033,1484800,0.7673481106758118
1687563343.748794,1486848,0.9743177890777588
1687563380.219881,1487872,1.106987476348877
1687563489.191659,1490944,0.9796247482299805
1687563561.640851,1492992,1.0681862831115723
1687563598.567107,1494016,1.2697420120239258
1687563671.999228,1496064,1.2304831743240356
1687563708.075003,1497088,0.9728938937187195
1687564038.380908,1506304,1.040696144104004
1687564147.872438,1509376,1.1150686740875244
1687564184.949366,1510400,1.0499993562698364
1687564258.9485419,1512448,1.1836961507797241
1687564515.695457,1519616,0.852149248123169
1687564663.3925571,1523712,1.1515847444534302
1687564774.105673,1526784,0.9576203227043152
1687564884.0233831,1529856,0.849748432636261
1687564921.4968069,1530880,0.7158420085906982
1687565068.254237,1534976,0.9630107283592224
1687565104.4906628,1536000,0.9767802357673645
1687565215.277952,1539072,1.0435711145401
1687565474.489738,1546240,1.1098127365112305
1687565510.700338,1547264,1.1542832851409912
1687565547.026884,1548288,1.151477575302124
1687565620.663462,1550336,1.0306332111358643
1687565694.2939079,1552384,0.9851076006889343
1687565731.524606,1553408,1.0576977729797363
1687565988.69919,1560576,0.8932898640632629
1687566173.7096179,1565696,1.1081551313400269
1687566393.739264,1571840,0.9666688442230225
1687566504.683499,1574912,1.0981777906417847
1687566541.117853,1575936,0.9582969546318054
1687566651.582581,1579008,1.0869276523590088
1687566910.936494,1586176,1.1887876987457275
1687567021.608913,1589248,1.0631184577941895
1687567058.718807,1590272,0.9200174808502197
1687567095.215816,1591296,1.1087065935134888
1687567426.989651,1600512,0.8821575045585632
1687567539.5021608,1603584,1.2284592390060425
1687567577.821737,1604608,0.8629838824272156
1687567652.81071,1606656,1.2332926988601685
1687567726.536716,1608704,0.9415269494056702
1687567763.724237,1609728,1.0247524976730347
1687567801.244768,1610752,0.9527871608734131
1687567838.089396,1611776,1.0573060512542725
1687567949.066584,1614848,0.7925494909286499
1687568097.308139,1618944,1.1432652473449707
1687568134.183541,1619968,1.1085727214813232
1687568282.9815118,1624064,0.9519810080528259
1687568654.429217,1634304,0.9620847702026367
1687568691.195256,1635328,1.1040819883346558
1687568727.846509,1636352,1.0314453840255737
1687568876.5543308,1640448,1.0986626148223877
1687568913.6908338,1641472,1.0635263919830322
1687568951.175701,1642496,1.1604058742523193
1687569250.705342,1650688,1.1203482151031494
1687569362.6405299,1653760,0.9964495301246643
1687569438.130605,1655808,0.985116183757782
1687569735.5984168,1664000,1.1356074810028076
1687569849.252784,1667072,0.9924952387809753
1687569998.4859269,1671168,1.0997642278671265
1687570148.48105,1675264,1.0649231672286987
1687570223.5986,1677312,0.9822999835014343
1687570335.415581,1680384,1.1163601875305176
1687570373.833308,1681408,1.1573914289474487
1687570560.29642,1686528,1.0635247230529785
1687570598.096213,1687552,0.9359246492385864
1687570748.7939851,1691648,1.1079583168029785
1687570786.0230982,1692672,1.0280849933624268
1687570823.705794,1693696,1.1244127750396729
1687570861.104712,1694720,1.0236942768096924
1687570936.3012638,1696768,0.9502773284912109
1687571162.244295,1702912,0.9891518354415894
1687571312.0806642,1707008,1.0243195295333862
1687571462.242145,1711104,1.1538729667663574
1687571611.185816,1715200,1.1081875562667847
1687571723.006943,1718272,0.8430252075195312
1687571798.559081,1720320,1.0702682733535767
1687572025.480381,1726464,0.944486677646637
1687572061.722396,1727488,1.1157901287078857
1687572100.0065348,1728512,1.078271746635437
1687572137.268607,1729536,0.9553819894790649
1687572322.494879,1734656,1.0040700435638428
1687572358.980281,1735680,0.9351165294647217
1687572397.0300229,1736704,0.8421431183815002
1687572546.935104,1740800,1.1448746919631958
1687572658.732734,1743872,1.0846513509750366
1687572733.100419,1745920,0.9759604334831238
1687572845.407991,1748992,1.085394024848938
1687572919.611437,1751040,1.1184440851211548
1687572957.6207669,1752064,1.0786679983139038
1687572995.252619,1753088,1.1057088375091553
1687573033.112719,1754112,1.2383791208267212
1687573258.414191,1760256,0.9914963245391846
1687573408.724517,1764352,1.0056337118148804
1687573446.20074,1765376,1.0381397008895874
1687573483.248346,1766400,1.0288506746292114
1687573521.133591,1767424,1.0089153051376343
1687573709.1819499,1772544,1.1450202465057373
1687574009.713902,1780736,0.9552575349807739
1687574047.537471,1781760,0.9789504408836365
1687574197.810312,1785856,1.2000492811203003
1687574274.543467,1787904,1.1145849227905273
1687574388.113017,1790976,1.0265674591064453
1687574463.166861,1793024,1.153782606124878
1687574577.673667,1796096,1.2486460208892822
1687574615.4784331,1797120,1.1521625518798828
1687574918.5558028,1805312,1.3313957452774048
1687574956.6090739,1806336,1.207150936126709
1687575032.618717,1808384,1.0074379444122314
1687575411.593517,1818624,1.1251261234283447
1687575487.1673331,1820672,1.048682451248169
1687575599.6612391,1823744,1.3212997913360596
1687575751.8026502,1827840,1.0142008066177368
1687575788.9590552,1828864,1.0618575811386108
1687575827.9041321,1829888,1.190597653388977
1687575940.070793,1832960,1.201794981956482
1687576055.244396,1836032,1.0628925561904907
1687576130.57311,1838080,1.2480647563934326
1687576207.1964521,1840128,0.9896237254142761
1687576360.255502,1844224,1.0040897130966187
1687576435.795147,1846272,1.272890329360962
1687576662.933036,1852416,1.3173878192901611
1687576739.429891,1854464,1.2310748100280762
1687577081.5160608,1863680,1.329152226448059
1687577233.4766989,1867776,1.0599781274795532
1687577347.291008,1870848,1.1545069217681885
1687577385.167941,1871872,1.2258304357528687
1687577460.924416,1873920,1.1277879476547241
1687577498.6542542,1874944,1.105782151222229
1687577575.674453,1876992,0.9312568306922913
1687577613.312208,1878016,1.1677311658859253
1687577727.4626482,1881088,1.1905937194824219
1687577802.760493,1883136,0.9800602793693542
1687578065.7480938,1890304,0.9848393201828003
1687578103.5722072,1891328,0.8724839687347412
1687578141.984559,1892352,1.1037321090698242
1687578179.940587,1893376,1.1413428783416748
1687578293.2880268,1896448,1.0623257160186768
1687578635.6208189,1905664,1.0575463771820068
1687578825.578376,1910784,1.2329457998275757
1687578864.492707,1911808,1.1767655611038208
1687578902.128126,1912832,0.9435012936592102
1687579053.759518,1916928,1.1082714796066284
1687579091.491859,1917952,1.0145950317382812
1687579168.686651,1920000,1.1930021047592163
1687579282.688416,1923072,1.2681422233581543
1687579397.7334762,1926144,0.9892496466636658
1687579510.9050062,1929216,1.1534661054611206
1687579549.672429,1930240,1.1008411645889282
1687579626.162643,1932288,1.066338300704956
1687579702.644025,1934336,1.1694544553756714
1687579780.222358,1936384,1.1680240631103516
1687579970.8748102,1941504,1.0425636768341064
1687580121.915255,1945600,0.9967528581619263
1687580236.3027232,1948672,1.2565685510635376
1687580466.4211788,1954816,1.07428777217865
1687580503.631357,1955840,1.177754282951355
1687580543.0124822,1956864,1.083411693572998
1687580655.933735,1959936,1.1605356931686401
1687580847.146166,1965056,1.041028380393982
1687581077.193192,1971200,1.0355298519134521
